NAME,SIZE,MILK,SERVING_SIZE_ml,CALORIES,TOTAL_FAT_g,SATURATED_FAT_g,TRANS_FAT_g,CHOLESTEROL_mg,SODIUM_mg,TOTAL_CARB_g,DIETARY_FIBER_g,SUGAR_g,PROTEIN_g,CALCIUM_mg,CALCIUM_pcdv,IRON_mg,IRON_pcdv,CAFFEINE_mg,SIZE...2,SIZE...3,CALS,PRICE,CPD
Iced Tea,Small,NA,354,80,0,0,0,0,15,19,0,17,0,5,0,0,0,45,L,Large,5,1.59,28.30188679245283
Iced Tea,Large,NA,946,150,0,0,0,0,25,38,0,33,0,10,0.01,0,0,90,S,Small,5,0.99,90.9090909090909
Iced Tea,Large,NA,946,150,0,0,0,0,25,38,0,33,0,10,0.01,0,0,90,M,Medium,5,1.29,69.76744186046511
Iced Tea,Large,NA,946,150,0,0,0,0,25,38,0,33,0,10,0.01,0,0,90,L,Large,5,1.59,56.60377358490566
Iced Tea,Medium,NA,709,110,0,0,0,0,20,29,0,25,0,6,0,0,0,67,S,Small,5,0.99,67.67676767676768
Iced Tea,Medium,NA,709,110,0,0,0,0,20,29,0,25,0,6,0,0,0,67,M,Medium,5,1.29,51.93798449612403
Iced Tea,Medium,NA,709,110,0,0,0,0,20,29,0,25,0,6,0,0,0,67,L,Large,5,1.59,42.13836477987421
Iced Tea,Small,NA,354,80,0,0,0,0,15,19,0,17,0,5,0,0,0,45,S,Small,5,0.99,45.45454545454545
Iced Tea,Small,NA,354,80,0,0,0,0,15,19,0,17,0,5,0,0,0,45,M,Medium,5,1.29,34.883720930232556
Iced Tea,Small,NA,354,80,0,0,0,0,15,19,0,17,0,5,0,0,0,45,L,Large,5,1.59,28.30188679245283
Iced Tea,Large,NA,946,5,0,0,0,0,25,2,0,0,0,10,0.01,0,0,90,S,Small,5,0.99,90.9090909090909
Iced Tea,Large,NA,946,5,0,0,0,0,25,2,0,0,0,10,0.01,0,0,90,M,Medium,5,1.29,69.76744186046511
Iced Tea,Large,NA,946,5,0,0,0,0,25,2,0,0,0,10,0.01,0,0,90,L,Large,5,1.59,56.60377358490566
Iced Tea,Medium,NA,709,5,0,0,0,0,20,1,0,0,0,6,0,0,0,67,S,Small,5,0.99,67.67676767676768
Iced Tea,Medium,NA,709,5,0,0,0,0,20,1,0,0,0,6,0,0,0,67,M,Medium,5,1.29,51.93798449612403
Iced Tea,Medium,NA,709,5,0,0,0,0,20,1,0,0,0,6,0,0,0,67,L,Large,5,1.59,42.13836477987421
Iced Tea,Small,NA,354,5,0,0,0,0,15,1,0,0,0,5,0,0,0,45,S,Small,5,0.99,45.45454545454545
Iced Tea,Small,NA,354,5,0,0,0,0,15,1,0,0,0,5,0,0,0,45,M,Medium,5,1.29,34.883720930232556
Iced Tea,Small,NA,354,5,0,0,0,0,15,1,0,0,0,5,0,0,0,45,L,Large,5,1.59,28.30188679245283
Iced Tea,Large,NA,946,20,0,0,0,0,25,5,0,0,0,10,0.01,0,0,90,S,Small,5,0.99,90.9090909090909
Iced Tea,Large,NA,946,20,0,0,0,0,25,5,0,0,0,10,0.01,0,0,90,M,Medium,5,1.29,69.76744186046511
Iced Tea,Large,NA,946,20,0,0,0,0,25,5,0,0,0,10,0.01,0,0,90,L,Large,5,1.59,56.60377358490566
Iced Tea,Medium,NA,709,15,0,0,0,0,20,3,0,0,0,6,0,0,0,67,S,Small,5,0.99,67.67676767676768
Iced Tea,Medium,NA,709,15,0,0,0,0,20,3,0,0,0,6,0,0,0,67,M,Medium,5,1.29,51.93798449612403
Iced Tea,Medium,NA,709,15,0,0,0,0,20,3,0,0,0,6,0,0,0,67,L,Large,5,1.59,42.13836477987421
Iced Tea,Small,NA,354,10,0,0,0,0,15,2,0,0,0,5,0,0,0,45,S,Small,5,0.99,45.45454545454545
Iced Tea,Small,NA,354,10,0,0,0,0,15,2,0,0,0,5,0,0,0,45,M,Medium,5,1.29,34.883720930232556
Iced Tea,Small,NA,354,10,0,0,0,0,15,2,0,0,0,5,0,0,0,45,L,Large,5,1.59,28.30188679245283
Iced Tea,Large,NA,946,20,0,0,0,0,25,5,0,0,0,10,0.01,0,0,90,S,Small,5,0.99,90.9090909090909
Iced Tea,Large,NA,946,20,0,0,0,0,25,5,0,0,0,10,0.01,0,0,90,M,Medium,5,1.29,69.76744186046511
Iced Tea,Large,NA,946,20,0,0,0,0,25,5,0,0,0,10,0.01,0,0,90,L,Large,5,1.59,56.60377358490566
Iced Tea,Medium,NA,709,15,0,0,0,0,20,4,0,0,0,6,0,0,0,67,S,Small,5,0.99,67.67676767676768
Iced Tea,Medium,NA,709,15,0,0,0,0,20,4,0,0,0,6,0,0,0,67,M,Medium,5,1.29,51.93798449612403
Iced Tea,Medium,NA,709,15,0,0,0,0,20,4,0,0,0,6,0,0,0,67,L,Large,5,1.59,42.13836477987421
Iced Tea,Small,NA,354,10,0,0,0,0,15,3,0,0,0,5,0,0,0,45,S,Small,5,0.99,45.45454545454545
Iced Tea,Small,NA,354,10,0,0,0,0,15,3,0,0,0,5,0,0,0,45,M,Medium,5,1.29,34.883720930232556
Iced Tea,Small,NA,354,10,0,0,0,0,15,3,0,0,0,5,0,0,0,45,L,Large,5,1.59,28.30188679245283
